title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Mercedes Clase A A 250e 8g-dct,35.900€,2020,1.500 km,218 cv en Tenerife,Automática secuencial,5 puertas,5,218 cv,Gris,32 gr/m,Híbrido,SÍ,Profesional,Berlina,145 cm,442 cm,180 cm,310 l,235 km/h,"0,0 l","0,0 l","1,4 l",1.680 kg,35 l,"6,6 s"
Smart Fortwo Coupé Eq,13.500€,2019,1.950 km,82 cv,Automática,3 puertas,2,82 cv,Rojo,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,156 cm,270 cm,166 cm,230 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.085 kg,0 l,"11,5 s"
Audi A4 35 Tdi S Line S Tronic 120kw,38.000€,01/2020,10 km,163 cv en Murcia,Automática secuencial,4 puertas,5,163 cv,Blanco ibis,106 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,476 cm,185 cm,460 l,228 km/h,"4,3 l","3,6 l","3,9 l",1.570 kg,54 l,"8,2 s"
Ford Fiesta 1.1 Ti-vct Trend,9.990€,2019,18 km,85 cv en Madrid,Manual,5 puertas,5,85 cv,Blanco,114 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,404 cm,174 cm,276 l,170 km/h,"6,1 l","3,9 l","4,0 l",1.091 kg,42 l,"14,0 s"
Audi A3 Sportback 30tdi S Line,25.800€,09/2020,2.500 km,116 cv en Badajoz,Manual,5 puertas,5,116 cv,Rojo,96 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,434 cm,182 cm,380 l,206 km/h,"4,0 l","3,3 l","3,6 l",1.420 kg,50 l,"10,1 s"
Skoda Rapid 1.0 Tsi Ambition 70kw,11.350€,05/2019,8.600 km,95 cv en Barcelona,Manual,5 puertas,5,95 cv,Plateado,106 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,448 cm,171 cm,550 l,187 km/h,"5,3 l","4,0 l","4,5 l",1.170 kg,55 l,"11,0 s"
Toyota Camry Híbrido Advanced Aut.,28.700€,2020,1.563 km,218 cv en Cadiz,Automática continua,4 puertas,5,218 cv,Negro,101 gr/m,Híbrido,SÍ,Profesional,Berlina,145 cm,489 cm,184 cm,524 l,180 km/h,"4,8 l","4,4 l","4,4 l",1.670 kg,50 l,"8,3 s"
Ssangyong Korando G15 Line 4x2,19.800€,2021,200 km,163 cv en Jaen,Manual,5 puertas,5,163 cv,Gris,156 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,162 cm,445 cm,187 cm,551 l,191 km/h,"7,1 l","3,8 l","5,5 l",1.405 kg,50 l,"0,0 s"
Dr Dr 4 Dr 4 1.6 Glp,17.900€,2019,46 km,114 cv en Alicante,Manual,5 puertas,5,114 cv,Rojo,150 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,166 cm,433 cm,177 cm,600 l,180 km/h,"9,4 l","6,3 l","7,4 l",1.320 kg,45 l,"10,5 s"
Dr Dr 6 Dr 6 1.5 Glp,20.900€,2019,0 km,150 cv en Alicante,Manual,5 puertas,5,150 cv,Blanco,164 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,174 cm,451 cm,184 cm,370 l,187 km/h,"12,7 l","8,6 l","10,1 l",1.570 kg,55 l,"10,0 s"
Opel Astra 1.2t S-s Elegance 145,17.700€,12/2019,529 km,145 cv en Valencia,Manual,5 puertas,5,145 cv,Negro,99 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,437 cm,181 cm,370 l,220 km/h,"5,2 l","3,8 l","4,3 l",1.205 kg,48 l,"9,4 s"
Mercedes Clase S S 350d 9g-tronic,97.595€,2021,NUEVO,286 cv en Madrid,Automática secuencial,4 puertas,5,286 cv,Gris,0 gr/m,Diesel,SÍ,Profesional,Berlina,150 cm,518 cm,195 cm,0 l,250 km/h,"0,0 l","0,0 l","0,0 l",2.020 kg,65 l,"6,4 s"
Citroen Berlingo Bluehdi S&s Talla M Live 100,15.500€,2019,6.307 km,100 cv en Sevilla,Manual,5 puertas,5,100 cv,Blanco,107 gr/m,Diesel,SÍ,Profesional,Monovolumen,184 cm,440 cm,185 cm,775 l,152 km/h,"4,8 l","4,0 l","4,1 l",1.635 kg,0 l,"0,0 s"
Audi A1 Sportback 30 Tfsi Advanced,21.500€,01/2019,4.224 km,116 cv en Murcia,Manual,5 puertas,5,116 cv,Blanco glaciar metalizado negr,111 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,403 cm,174 cm,335 l,203 km/h,"5,9 l","4,1 l","4,8 l",1.180 kg,40 l,"9,5 s"
Bmw Serie 2 218da Gran Coupé,36.100€,02/2021,NUEVO,150 cv en Cantabria,Automática secuencial,4 puertas,5,150 cv,Saphirschwarz (metalizado),109 gr/m,Diesel,SÍ,Profesional,Coupe,142 cm,453 cm,180 cm,430 l,222 km/h,"5,4 l","2,9 l","4,2 l",1.545 kg,42 l,"8,5 s"
Hyundai I30 I30 1.0 Tgdi Essence 120,14.900€,01/2019,1.323 km,120 cv en Murcia,Manual,5 puertas,5,120 cv,Polar white,121 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,434 cm,180 cm,395 l,190 km/h,"5,8 l","4,6 l","5,0 l",1.194 kg,50 l,"11,1 s"
Mini Countryman Mini Cooper,21.900€,08/2019,9.936 km,136 cv en Asturias,Manual,5 puertas,5,136 cv,Island blue (metalizada),128 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,156 cm,430 cm,182 cm,450 l,202 km/h,"6,8 l","4,8 l","5,5 l",1.365 kg,51 l,"9,6 s"
Audi Q3 Sportback 45 Tfsie S Line Tiptronic,50.300€,2021,500 km,245 cv en Albacete,Automática secuencial,5 puertas,5,245 cv,Blanco,0 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,158 cm,450 cm,184 cm,380 l,210 km/h,"0,0 l","0,0 l","0,0 l",1.815 kg,45 l,"7,3 s"
Citroen Grand C4 Spacetourer 1.5bluehdi S&s Feel 130,17.490€,2020,4.500 km,130 cv en Madrid,Manual,5 puertas,7,130 cv,Gris,105 gr/m,Diesel,SÍ,Profesional,Monovolumen,164 cm,460 cm,183 cm,643 l,198 km/h,"4,7 l","3,7 l","4,1 l",1.505 kg,55 l,"10,9 s"
Honda Jazz 1.5 I-mmd Confort,20.500€,2020,4.900 km,"109 cv en Coruña, A",Automática continua,5 puertas,5,109 cv,Blanco,82 gr/m,Híbrido,SÍ,Profesional,Monovolumen,153 cm,404 cm,169 cm,304 l,190 km/h,"2,4 l","4,3 l","3,6 l",1.300 kg,40 l,"11,2 s"
Toyota Yaris 1.5 Active,11.490€,2019,7.074 km,"111 cv en Palmas, Las",Manual,5 puertas,5,111 cv,Gris,116 gr/m,Gasolina,SÍ,Profesional,Berlina,151 cm,395 cm,170 cm,286 l,175 km/h,"6,5 l","4,3 l","5,1 l",1.045 kg,42 l,"11,0 s"
Hyundai Tucson 1.6crdi Sle 4x2,22.500€,09/2019,5.800 km,116 cv en Sevilla,Manual,5 puertas,5,116 cv,Blanco,124 gr/m,Diesel,SÍ,Profesional,Todo Terreno,166 cm,448 cm,185 cm,513 l,175 km/h,"5,1 l","4,4 l","4,7 l",1.425 kg,62 l,"11,8 s"
Mercedes Eqc Eqc 400 4matic,71.000€,2020,3 km,408 cv,Automática,5 puertas,5,408 cv,Gris,0 gr/m,Eléctrico,SÍ,Profesional,Todo Terreno,162 cm,476 cm,188 cm,500 l,180 km/h,"0,0 l","0,0 l","0,0 l",2.495 kg,0 l,"5,1 s"
Hyundai Tucson 1.6 Tgdi Klass Sky 4x2,24.500€,2020,1.500 km,177 cv en Malaga,Manual,5 puertas,5,177 cv,Gris,173 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,166 cm,448 cm,185 cm,513 l,205 km/h,"9,6 l","6,3 l","7,5 l",1.449 kg,62 l,"9,2 s"
Audi A3 Sportback 35 Tfsi S Line,27.100€,09/2020,65 km,150 cv en Granada,Manual,5 puertas,5,150 cv,Negro,115 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,434 cm,182 cm,380 l,224 km/h,"6,3 l","4,1 l","4,9 l",1.355 kg,50 l,"8,4 s"
Kia Stonic 1.2 Cvvt Eco-dynamic Drive 84,12.900€,2020,6.000 km,84 cv en Sevilla,Manual,5 puertas,5,84 cv,Rojo,136 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,150 cm,414 cm,176 cm,332 l,165 km/h,"6,9 l","5,4 l","5,9 l",1.145 kg,45 l,"13,2 s"
Peugeot 3008 1.5bluehdi Allure S&s 130,25.190€,2020,NUEVO,130 cv en Madrid,Manual,5 puertas,5,130 cv,Gris,104 gr/m,Diesel,SÍ,Profesional,Todo Terreno,162 cm,445 cm,184 cm,520 l,192 km/h,"4,7 l","3,9 l","4,2 l",1.417 kg,53 l,"10,8 s"
Volkswagen Golf 1.5 Tsi Life 96kw,21.990€,2020,56 km,130 cv en Pontevedra,Manual,5 puertas,5,130 cv,Azul,116 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,428 cm,179 cm,380 l,214 km/h,"6,2 l","3,9 l","5,1 l",1.315 kg,50 l,"9,2 s"
Volkswagen Golf 1.5 Tsi Life 96kw,21.900€,2020,4.900 km,130 cv en Pontevedra,Manual,5 puertas,5,130 cv,Blanco,116 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,428 cm,179 cm,380 l,214 km/h,"6,2 l","3,9 l","5,1 l",1.315 kg,50 l,"9,2 s"
Peugeot 308 1.2 Puretech S&s Allure 110,15.200€,09/2019,7.600 km,110 cv en Barcelona,Manual,5 puertas,5,110 cv,Rojo,107 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,425 cm,180 cm,420 l,188 km/h,"5,8 l","4,0 l","4,6 l",1.155 kg,53 l,"11,1 s"
Seat Tarraco 1.5 Tsi S&s Style 150,23.593€,2021,NUEVO,150 cv en Barcelona,Manual,5 puertas,5,150 cv,Negro,132 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,167 cm,474 cm,184 cm,760 l,201 km/h,"6,7 l","5,2 l","5,8 l",1.576 kg,58 l,"9,7 s"
Peugeot 208 1.2 Puretech S&s Active 100,12.800€,2020,2.000 km,100 cv en Albacete,Manual,5 puertas,5,100 cv,Gris,97 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,406 cm,175 cm,309 l,188 km/h,"5,2 l","3,7 l","4,2 l",1.090 kg,44 l,"10,9 s"
Mazda Cx-30 Cx-30 2.0 Skyactiv-g Zenith 2wd 90kw,25.600€,2021,15 km,122 cv en Pontevedra,Manual,5 puertas,5,122 cv,Blanco,116 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,154 cm,440 cm,180 cm,430 l,186 km/h,"6,2 l","4,5 l","5,1 l",1.320 kg,51 l,"10,6 s"
Mercedes Clase C C 200d 9g-tronic,31.500€,2020,6.690 km,160 cv,Automática secuencial,4 puertas,5,160 cv,Blanco,122 gr/m,Diesel,SÍ,Profesional,Berlina,144 cm,469 cm,181 cm,455 l,226 km/h,"5,3 l","4,2 l","4,6 l",1.565 kg,66 l,"7,9 s"
Toyota Rav-4 Rav-4 2.5 Hybrid 2wd Advance,29.500€,2020,8.500 km,218 cv en Barcelona,Automática continua,5 puertas,5,218 cv,Blanco,105 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,169 cm,460 cm,186 cm,580 l,180 km/h,"4,7 l","4,7 l","4,6 l",1.645 kg,0 l,"8,4 s"
Mercedes Clase Cls Cls 350d 4matic Aut.,75.700€,07/2020,NUEVO,286 cv en Barcelona,Automática secuencial,4 puertas,5,286 cv,Negro obsidiana,152 gr/m,Diesel,SÍ,Profesional,Coupe,144 cm,499 cm,189 cm,520 l,250 km/h,"7,4 l","3,9 l","5,7 l",1.935 kg,66 l,"5,7 s"
Audi A3 Sportback 35 Tfsi S Line 110kw,23.900€,07/2019,4.256 km,150 cv en Granada,Manual,5 puertas,5,150 cv,Azul,125 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,431 cm,179 cm,380 l,220 km/h,"6,8 l","4,5 l","5,3 l",1.230 kg,50 l,"8,2 s"
Honda Hr-v Hr-v 1.5 I-vtec Executive,24.490€,09/2019,0 km,130 cv en Valencia,Manual,5 puertas,5,130 cv,Platinium white,134 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,429 cm,177 cm,453 l,192 km/h,"7,1 l","4,9 l","5,7 l",1.241 kg,50 l,"10,2 s"
Audi A1 Sportback 30 Tfsi Epic Edition,23.300€,02/2020,70 km,116 cv en Granada,Manual,5 puertas,5,116 cv,Rojo,112 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,403 cm,174 cm,335 l,203 km/h,"5,9 l","4,1 l","4,9 l",1.180 kg,40 l,"9,5 s"
Honda Civic Sedán 1.5 Vtec Turbo Elegance Navi,22.990€,12/2019,3.400 km,182 cv en Valencia,Manual,4 puertas,5,182 cv,Blanco taffeta,125 gr/m,Gasolina,SÍ,Profesional,Berlina,142 cm,465 cm,180 cm,519 l,210 km/h,"7,4 l","4,8 l","5,5 l",1.279 kg,46 l,"0,0 s"
Nissan Nv250 Nv250 Furgón 1.5dci Comfort L2h1 4pl. 95,14.850€,01/2020,1 km,95 cv en Alicante,Manual,5 puertas,4,95 cv,Blanco mineral gris,128 gr/m,Diesel,SÍ,Profesional,Furgon,180 cm,467 cm,185 cm,0 l,163 km/h,"5,1 l","4,4 l","4,7 l",1.406 kg,60 l,"13,8 s"
Nissan Qashqai 1.3 Dig-t N-connecta 4x2 103kw,21.600€,01/2019,3.874 km,140 cv en Alicante,Manual,5 puertas,5,140 cv,Plata metalizado,122 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,159 cm,439 cm,181 cm,430 l,193 km/h,"6,7 l","4,6 l","5,3 l",1.300 kg,55 l,"10,5 s"
Nissan Qashqai 1.3 Dig-t N-connecta 4x2 103kw,20.450€,01/2019,9.097 km,140 cv en Alicante,Manual,5 puertas,5,140 cv,Blanco perlado,122 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,159 cm,439 cm,181 cm,430 l,193 km/h,"6,7 l","4,6 l","5,3 l",1.300 kg,55 l,"10,5 s"
Mercedes Clase E E 200d 9g-tronic 160 (4.75),43.895€,2021,NUEVO,160 cv en Madrid,Automática secuencial,4 puertas,5,160 cv,Gris,123 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,492 cm,185 cm,540 l,226 km/h,"5,6 l","3,1 l","4,7 l",1.705 kg,66 l,"8,4 s"
Mercedes Clase A A 250 4matic 7g-dct,47.995€,2021,NUEVO,224 cv en Madrid,Automática secuencial,5 puertas,5,224 cv,Gris,151 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,442 cm,180 cm,370 l,250 km/h,"8,7 l","5,2 l","6,6 l",1.505 kg,51 l,"6,2 s"
Mercedes Clase C C Coupé 220d 9g-tronic (0.0),51.000€,10/2020,NUEVO,194 cv en Barcelona,Automática secuencial,2 puertas,4,194 cv,Blanco polar,117 gr/m,Diesel,SÍ,Profesional,Coupe,141 cm,469 cm,181 cm,380 l,240 km/h,"5,7 l","3,0 l","4,4 l",1.650 kg,66 l,"7,0 s"
Honda Civic 1.0 Vtec Turbo Elegance Navi Cvt,22.990€,12/2020,0 km,126 cv en Valencia,"Automática continua, secuencial",5 puertas,5,126 cv,Rojo rally,107 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,452 cm,180 cm,478 l,0 km/h,"5,5 l","4,2 l","4,7 l",1.284 kg,46 l,"10,8 s"
Volkswagen Passat 2.0tdi Evo Executive 110kw,30.100€,10/2020,100 km,150 cv en Guipuzcoa,Manual,4 puertas,5,150 cv,Gris plata,112 gr/m,Diesel,SÍ,Profesional,Berlina,148 cm,487 cm,183 cm,586 l,223 km/h,"4,6 l","3,6 l","4,2 l",1.525 kg,90 l,"8,9 s"
Peugeot 3008 1.2 S&s Puretech Allure Eat8 130,23.300€,01/2020,7.003 km,130 cv en Alicante,Automática secuencial,5 puertas,5,130 cv,5,117 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,162 cm,445 cm,184 cm,520 l,188 km/h,"6,1 l","4,6 l","5,1 l",1.320 kg,53 l,"9,7 s"
Bmw Serie 6 630da Gran Turismo Xdrive,59.317€,05/2019,8.944 km,265 cv en Madrid,Automática secuencial,5 puertas,5,265 cv,Negro,148 gr/m,Diesel,SÍ,Profesional,Berlina,154 cm,509 cm,190 cm,610 l,250 km/h,"6,9 l","4,9 l","5,6 l",1.880 kg,66 l,"6,0 s"
Peugeot 206 1.6 Xs Aut.,25.400€,01/2019,10 km,110 cv en Alicante,Automática,5 puertas,5,110 cv,Gris amazonite,176 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,383 cm,165 cm,245 l,188 km/h,"10,2 l","5,7 l","7,4 l",1.088 kg,50 l,"11,6 s"
Fiat Dobló Cargo 1.3mjt Sx 70kw,11.790€,08/2019,1 km,95 cv en Madrid,Manual,3 puertas,2,95 cv,Blanco (sólido),124 gr/m,Diesel,SÍ,Profesional,Furgon,185 cm,441 cm,183 cm,0 l,158 km/h,"6,5 l","4,2 l","5,0 l",1.320 kg,60 l,"0,0 s"
